crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Location 1
,12/29/14,4B,21:54:00,1800 BRADDISH AV,AGG. ASSAULT,KNIFE,723,WESTERN,Coppin Heights/Ash-Co-East,"(39.3085500000, -76.6610600000)"
,12/29/14,3AK,22:10:00,200 S ELLWOOD AV,ROBBERY - STREET,KNIFE,221,SOUTHEASTERN,Patterson Park,"(39.2898000000, -76.5732000000)"
,12/29/14,3AF,22:17:00,500 ST MARY ST,ROBBERY - STREET,FIREARM,143,CENTRAL,Seton Hill,"(39.2973500000, -76.6231600000)"
,12/29/14,4C,22:20:00,2500 WASHINGTON BLVD,AGG. ASSAULT,OTHER,831,SOUTHWESTERN,Morrell Park,"(39.2668800000, -76.6522900000)"
,12/29/14,3K,22:25:00,3700 PARKVIEW AV,ROBBERY - RESIDENCE,,623,NORTHWESTERN,Grove Park,"(39.3371400000, -76.7068600000)"
,12/29/14,3CF,22:50:00,1800 W NORTH AV,ROBBERY - COMMERCIAL,FIREARM,731,WESTERN,Mondawmin,"(39.3098800000, -76.6471300000)"
,12/29/14,3CF,22:50:00,1800 W NORTH AV,ROBBERY - COMMERCIAL,FIREARM,731,WESTERN,Mondawmin,"(39.3098800000, -76.6471300000)"
,12/29/14,3CF,22:50:00,1800 W NORTH AV,ROBBERY - COMMERCIAL,FIREARM,731,WESTERN,Mondawmin,"(39.3098800000, -76.6471300000)"
,12/29/14,3CF,22:50:00,1800 W NORTH AV,ROBBERY - COMMERCIAL,FIREARM,731,WESTERN,Mondawmin,"(39.3098800000, -76.6471300000)"
,12/29/14,3AF,22:50:00,1800 W NORTH AV,ROBBERY - STREET,FIREARM,731,WESTERN,Mondawmin,"(39.3098800000, -76.6471300000)"
,12/28/14,3AF,14:54:00,3300 E FAYETTE ST,ROBBERY - STREET,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2948600000, -76.5709900000)"
,12/28/14,4B,16:50:00,800 W OSTEND ST,AGG. ASSAULT,KNIFE,932,SOUTHERN,Washington Village/Pigtown,"(39.2780000000, -76.6289800000)"
,12/28/14,4B,16:50:00,800 W OSTEND ST,AGG. ASSAULT,KNIFE,932,SOUTHERN,Washington Village/Pigtown,"(39.2780000000, -76.6289800000)"
,12/28/14,4B,2:40:00,400 E BALTIMORE ST,AGG. ASSAULT,KNIFE,111,CENTRAL,Downtown,"(39.2897700000, -76.6098500000)"
,12/28/14,1F,213,2300 MC CULLOH ST,HOMICIDE,FIREARM,733,WESTERN,Penn North,"(39.3107100000, -76.6373700000)"
,12/28/14,4A,4:35:00,3000 E MONUMENT ST,AGG. ASSAULT,FIREARM,224,EASTERN,Ellwood Park/Monument,"(39.2991000000, -76.5751300000)"
,12/28/14,4A,4:35:00,3000 E MONUMENT ST,AGG. ASSAULT,FIREARM,224,EASTERN,Ellwood Park/Monument,"(39.2991000000, -76.5751300000)"
,12/28/14,4A,4:35:00,3000 E MONUMENT ST,AGG. ASSAULT,FIREARM,224,EASTERN,Ellwood Park/Monument,"(39.2991000000, -76.5751300000)"
,12/28/14,3AK,0:00:00,3400 ESTHER PL,ROBBERY - STREET,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,"(39.2943000000, -76.5689100000)"
,12/28/14,4C,0:40:00,2700 FENWICK AV,AGG. ASSAULT,OTHER,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3227700000, -76.5897600000)"
,12/28/14,3B,1:23:00,2000 BROOKFIELD AV,ROBBERY - STREET,,133,CENTRAL,Reservoir Hill,"(39.3116800000, -76.6318000000)"
,12/28/14,4D,1:32:00,1400 LIGHT ST,AGG. ASSAULT,HANDS,942,SOUTHERN,South Baltimore,"(39.2741200000, -76.6119900000)"
,12/28/14,4D,2:19:00,1000 LIGHT ST,AGG. ASSAULT,HANDS,942,SOUTHERN,Federal Hill,"(39.2778600000, -76.6125300000)"
,12/28/14,4A,10:00:00,400 EDGEWOOD ST,AGG. ASSAULT,FIREARM,843,SOUTHWESTERN,Allendale,"(39.2919900000, -76.6754700000)"
,12/28/14,4C,10:45:00,3600 DUDLEY AV,AGG. ASSAULT,OTHER,432,NORTHEASTERN,Belair-Edison,"(39.3189100000, -76.5612600000)"
,12/28/14,3B,11:31:00,1900 E COLD SPRING LA,ROBBERY - STREET,,421,NORTHEASTERN,Morgan State University,"(39.3458700000, -76.5852200000)"
,12/28/14,4B,12:00:00,800 N FULTON AV,AGG. ASSAULT,KNIFE,722,WESTERN,Harlem Park,"(39.2981100000, -76.6458600000)"
,12/28/14,4D,12:50:00,4400 FRANCONIA DR,AGG. ASSAULT,HANDS,443,NORTHEASTERN,Frankford,"(39.3271600000, -76.5596000000)"
,12/28/14,9S,1220,1900 W LEXINGTON ST,SHOOTING,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2905700000, -76.6478000000)"
,12/28/14,4A,13:06:00,2400 DUMFRIES CT,AGG. ASSAULT,FIREARM,921,SOUTHERN,Westport,"(39.2639000000, -76.6415000000)"
,12/28/14,4B,17:00:00,400 FONT HILL AVE,AGG. ASSAULT,KNIFE,832,SOUTHWESTERN,Gwynns Falls,"(39.2795800000, -76.6633300000)"
,12/28/14,3AF,17:30:00,3100 BREHMS LANE,ROBBERY - STREET,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3202000000, -76.5713400000)"
,12/28/14,9S,1727,400 EDGEWOOD ST,SHOOTING,FIREARM,843,SOUTHWESTERN,Allendale,"(39.2919900000, -76.6754700000)"
,12/28/14,4B,18:15:00,1000 E BALTIMORE ST,AGG. ASSAULT,KNIFE,211,SOUTHEASTERN,Jonestown,"(39.2906400000, -76.6023200000)"
,12/28/14,3AF,18:50:00,200 N LAKEWOOD AV,ROBBERY - STREET,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2948500000, -76.5792500000)"
,12/28/14,4C,19:30:00,2400 N STOCKTON ST,AGG. ASSAULT,OTHER,733,WESTERN,Penn North,"(39.3091400000, -76.6423100000)"
,12/28/14,3CF,20:15:00,1200 N PATTERSON PK AV,ROBBERY - COMMERCIAL,FIREARM,331,EASTERN,Broadway East,"(39.3047700000, -76.5854600000)"
,12/28/14,3AF,20:30:00,6200 MCCLEAN BLVD,ROBBERY - STREET,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3608200000, -76.5689100000)"
,12/28/14,3JF,22:55:00,2200 ANNAPOLIS RD,ROBBERY - RESIDENCE,FIREARM,921,SOUTHERN,Westport,"(39.2634700000, -76.6336800000)"
,12/27/14,3AK,0:00:00,2300 E MONUMENT ST,ROBBERY - STREET,KNIFE,323,EASTERN,Milton-Montford,"(39.2987500000, -76.5850700000)"
,12/27/14,4B,1:00:00,3000 CHESTERFIELD AV,AGG. ASSAULT,KNIFE,432,NORTHEASTERN,Belair-Edison,"(39.3241600000, -76.5689300000)"
,12/27/14,4B,1:00:00,3000 CHESTERFIELD AV,AGG. ASSAULT,KNIFE,432,NORTHEASTERN,Belair-Edison,"(39.3241600000, -76.5689300000)"
,12/27/14,3AJF,2:14:00,5000 ARBUTUS,ROBBERY - CARJACKING,FIREARM,613,NORTHWESTERN,Langston Hughes,"(39.3424600000, -76.6805100000)"
,12/27/14,4C,2:31:00,2400 SISSON ST,AGG. ASSAULT,OTHER,511,NORTHERN,Remington,"(39.3163300000, -76.6227000000)"
,12/27/14,4A,9:09:00,3400 WILKENS AV,AGG. ASSAULT,FIREARM,832,SOUTHWESTERN,Saint Agnes,"(39.2726700000, -76.6749700000)"
,12/27/14,3GF,9:09:00,3400 WILKENS AV,ROBBERY - COMMERCIAL,FIREARM,832,SOUTHWESTERN,Saint Agnes,"(39.2726700000, -76.6749700000)"
,12/27/14,2A,11:59:18,800 N ARLINGTON AVE,RAPE,OTHER,713,WESTERN,Harlem Park,"(39.2983600000, -76.6357800000)"
,12/27/14,4A,12:45:00,3000 ARUNAH AVE,AGG. ASSAULT,FIREARM,814,SOUTHWESTERN,Franklintown Road,"(39.2951400000, -76.6669400000)"
